Id,Date Added,Council Member,Recipient Self,Recipient Dependent,Recipient Staff,Source,Date Gifted,Nature / Value,Reason,Intent,Value
94,2018-06-06,John Orlikow,yes,no,no,Downtown BIZ,2018-06-04,"3 t-shirts Winnipeg is Good, 1 t-shirt Downtown Biz pop up",Pop-Up- Toilet anouncement,retained,
70,2018-05-01,Mike Pagtakhan,yes,no,no,Dakota Collegiate Gala Dinner,2018-04-27,Gala Dinner & Alumni Guest,Councillor Brian Mayes invited to attend,retained,
134,2018-06-18,Brian Bowman,yes,no,no,"Iwao Horii, Parliamentary Secretary for Foreign Affairs - Japan",2018-05-07,Teacup - $50,Protocol,Retain,50
441,2019-07-04,Shawn Nason,yes,no,no,End BSL Manitoba/Winnipeg Humane Society,2019-05-14,1 Book / $22,"Group advocating for an end to breed specific legislation provided a booked titled ""Pit Bull: The Battle over an American Icon"" as a part of their information package.",Retained,22
133,2018-06-18,Brian Bowman,yes,no,no,U of M Women's Hockey team,2018-05-07,Signed team photo - $50,Gift in response to reception event in April,Retain,50
516,2019-11-27,Brian Bowman,yes,no,no,"Amanda Buhse, Coal & Canary",2019-10-16,2 Coal and Canary Candles - $20.00,Courtesy Gift,Retained,20
131,2018-06-18,Brian Bowman,yes,no,no,Stefano Grande - Downtown Winnipeg BIZ,2018-05-07,"Gift Card, Chocolate - $50",Speaking gift - Downtown Safety Summit,Retain,50
20,2018-04-04,Shawn Dobson,yes,no,no,Sturgeon Creek 1 Senior's Games,2018-02-09,Two cookies,Received at event,Retained,
190,2018-06-28,Brian Bowman,yes,no,no,Marion Cooper - CMHA,2018-06-24,Cycling shirt - $30,Event shirt for Ride Don't Hide - delivered greetings in shirt,Retain,30
489,2019-10-11,Brian Bowman,yes,no,no,"Carla Traill, Showtime Productions",2019-09-03,4 tickets to We Will Rock You,Courtesy Gift,Retained,
174,2018-06-28,Jason Schreyer,yes,no,no,Punjab Entertainment,2018-04-22,1 admission at $75.00 each,promotion of Vaisakhi Special Concert,attended,75
